ticker_papel,pais,fuente,verificado
SMH,,fondo: la exposicion geografica la declara su propio nombre,
SMSN,KR,"Listado oficial de CEDEARs de BYMA (17/04/2026): SMSN = Samsung Electronics Co. Ltd., London Stock Exchange; samsung.com/global/ir/stock-information confirma que sus GDR cotizan en la LSE bajo SMSN. Sitio corporativo samsung.com, seccion company info: sede en 129 Samsung-ro, Yeongtong-gu, Suwon-si, Gyeonggi-do, República de Corea",2026-08-28
SNA,US,"SEC EDGAR, domicilio de oficinas ejecutivas principales declarado por la empresa (CIK 91440, Form 10-K): 2801 80th Street, Kenosha, Wisconsin, EE.UU.",2026-08-28
SNAP,US,"SEC EDGAR, domicilio de oficinas ejecutivas principales declarado por la empresa (CIK 1564408, Form 10-K): 3000 31st Street, Santa Monica, California, EE.UU.",2026-08-28
SNDK,US,"SEC EDGAR, domicilio de oficinas ejecutivas principales declarado por la empresa (CIK 2023554, Form 10-K): 951 SanDisk Drive, Milpitas, California, EE.UU.",2026-08-28
SNOW,US,"SEC EDGAR, domicilio de oficinas ejecutivas principales declarado por la empresa (CIK 1640147, Form 10-K): 135 Constitution Drive, Menlo Park, California, EE.UU.",2026-08-28
SONY,JP,"SEC EDGAR, domicilio de oficinas ejecutivas principales declarado por la empresa (CIK 313838, Form 20-F, Sony Group Corp): 1-7-1 Konan, Minato-ku, Tokio, Japón",2026-08-28
SPCE,US,"SEC EDGAR, domicilio de oficinas ejecutivas principales declarado por la empresa (CIK 1706946, Form 10-K, Virgin Galactic Holdings): 1700 Flight Way, Tustin, California, EE.UU.",2026-08-28
SPCX,US,"SEC EDGAR CIK 1181412 (Space Exploration Technologies Corp, ticker SPCX en company_tickers.json, con S-1 y CERT): domicilio 1 Rocket Road, Starbase, Texas, EE.UU., constituida en Texas. La IPO en Nasdaq se concreto el 12/06/2026, posterior al listado de CEDEARs de BYMA del 17/04/2026, por eso no figura ahi",2026-08-28
SPGI,US,"SEC EDGAR, domicilio de oficinas ejecutivas principales declarado por la empresa (CIK 64040, Form 10-K): 55 Water Street, Nueva York, EE.UU.",2026-08-28
SPHQ,,fondo: la exposicion geografica la declara su propio nombre,
SPOT,SE,"Form 20-F de Spotify Technology S.A. (SEC CIK 1639920): domicilio social registrado en 33 Boulevard Prince Henri, Luxemburgo, y oficina operativa principal en Regeringsgatan 19, Estocolmo, Suecia. Se asigna SE por la sede operativa; Luxemburgo es la constitucion legal",2026-08-28
SPXL,,fondo: la exposicion geografica la declara su propio nombre,
SPY,,fondo: la exposicion geografica la declara su propio nombre,
