raiz_emision,denominacion,cuit,clase,fuente,verificado
SNAA,S.A. SAN MIGUEL,30511190238,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
SNAB,S.A. SAN MIGUEL,30511190238,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
SNSB,S.A. SAN MIGUEL,30511190238,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
SNSD,S.A. SAN MIGUEL,30511190238,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
T641,TARJETA NARANJA S.A.,30685376349,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
T661,TARJETA NARANJA S.A.,30685376349,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
T662,TARJETA NARANJA S.A.,30685376349,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
TLCF,TELECOM ARGENTINA S.A.,30639453738,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
TLCM,TELECOM ARGENTINA S. A.,30639453738,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
TLCO,TELECOM ARGENTINA S.A.,30639453738,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
TLCP,TELECOM ARGENTINA S.A.,30639453738,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
TLCQ,TELECOM ARGENTINA S.A.,30639453738,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
TSC3,TRANSPORTADORA DE GAS DEL SUR S.A.,30657862068,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
TSC4,TRANSPORTADORA GAS DEL SUR S.A.,30657862068,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
TTC8,TECPETROL S.A.,30592665472,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
TTC9,TECPETROL S.A.,30592665472,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
TTCA,TECPETROL S.A.,30592665472,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
TTCB,TECPETROL S.A.,30592665472,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
TTCD,TECPETROL S.A.,30592665472,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
VAC3P,VITALCAN S.A,30713322705,OBLIGACIONES NEGOCIABLES PYMES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
VBC1,BANCO DE VALORES S.A.,30576124275,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
VBC2,BANCO DE VALORES S.A.,30576124275,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
VS1V,VISTA ENERGY ARGENTINA S.A.U.,33515950899,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
VSCI,VISTA OIL & GAS ARGENTINA S.A.U.,33515950899,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
VSCJ,VISTA OIL & GAS ARGENTINA S.A.U.,33515950899,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
VSCK,VISTA OIL & GAS ARGENTINA S.A.U.,33515950899,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
VSCO,VISTA OIL & GAS ARGENTINA S.A.U.,33515950899,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
VSCP,VISTA OIL & GAS ARGENTINA S.A.U.,33515950899,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
VSCQ,VISTA OIL & GAS ARGENTINA S.A.U.,33515950899,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
VSCR,VISTA OIL & GAS ARGENTINA S.A.U.,33515950899,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
VSCT,VISTA ENERGY ARGENTINA S.A.U.,33515950899,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
VSCU,VISTA OIL & GAS ARGENTINA S.A.U.,33515950899,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
VSCV,VISTA ENERGY ARGENTINA S.A.U.,33515950899,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
VSCW,VISTA OIL & GAS ARGENTINA S.A.U.,33515950899,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
WBS1,BANCO MARIVA S.A.,30516420444,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
XMC1,MINERA EXAR S.A.,30709667587,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
YCAM,YPF S.A.,30546689979,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
YFCD,YPF ENERGIA ELECTRICA S.A.,30714128309,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
YFCG,YPF ENERGIA ELECTRICA S.A.,30714128309,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
YFCI,YPF ENERGIA ELECTRICA S.A.,30714128309,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
YFCJ,YPF ENERGIA ELECTRICA S.A.,30714128309,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
YFCK,YPF ENERGIA ELECTRICA S.A.,30714128309,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
YFCL,YPF ENERGIA ELECTRICA S.A.,30714128309,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
YFCM,YPF ENERGIA ELECTRICA S.A.,30714128309,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
YFCN,YPF ENERGIA ELECTRICA S.A.,30714128309,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
YFCO,YPF ENERGIA ELECTRICA S.A.,30714128309,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
YM1X,YPF S.A.,30546689979,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
YM34,YPF S.A.,30546689979,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
YM35,YPF S.A.,30546689979,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
YM37,YPF S.A.,30546689979,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
YM38,YPF S.A.,30546689979,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
YM39,YPF S.A.,30546689979,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
YM40,YPF S.A.,30546689979,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
YM41,YPF S.A.,30546689979,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
YM42,YPF S.A.,30546689979,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
YMC1,YPF S.A.,30546689979,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
YMCI,YPF S.A.,30546689979,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
YMCJ,YPF S.A.,30546689979,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
YMCP,YPF S.A.,30546689979,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
YMCR,YPF S.A.,30546689979,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
YMCT,YPF S.A.,30546689979,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
YMCX,YPF S.A.,30546689979,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
YMCY,YPF S.A.,30546689979,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
YMCZ,YPF S.A.,30546689979,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
ZPC1,PLAZA LOGISTICA S.R.L.,30655942382,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
ZPC2,PLAZA LOGISTICA S.R.L.,30655942382,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
ZPC3,PLAZA LOGISTICA S.R.L.,30655942382,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
ZZC1,CAMUZZI GAS PAMPEANA S.A.,30657864281,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
